Référence Chantier;Code postal arrondissement - Commune;Date début du chantier;Date fin du chantier;Responsable du chantier;Maîtrise d'ouvrage principale;Surface (m2);Synthèse - Nature du chantier;Encombrement espace public;Impact stationnement;Identifiant demande CITE;Identifiant Chantier CITE;geo_shape;geo_point_2d
EC293725;75007;2022-08-29;2024-01-12;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;121.52;Travaux sur réseau d'assainissement (VdP*);EMPRISE_CHAUSSEE,EMPRISE_TROTTOIR;;684875;194335;"{""coordinates"": [[[2.2991106295301003, 48.86223462039038], [2.2990930570303756, 48.86225819650616], [2.29921799072509, 48.86230856336798], [2.299398125244916, 48.86241116473912], [2.2994405285136805, 48.86238864408393], [2.2993913002067856, 48.86235420392084], [2.299342737154356, 48.86232158791859], [2.2992762427648485, 48.86228795676087], [2.299193210029683, 48.862252407531365], [2.29918618063532, 48.862261929174615], [2.2991106295301003, 48.86223462039038]]], ""type"": ""Polygon""}";48.86232007375882, 2.2992775565151993
EC294868;75007;2022-11-21;2023-12-04;Ville de Paris (Tvx sur espace ou édifice public);Section de l'Assainissement de Paris;59.46;Travaux sur réseau d'assainissement (VdP*);EMPRISE_TROTTOIR;;689869;195029;"{""coordinates"": [[[2.3195106154997047, 48.86197979068825], [2.319494552225192, 48.8619414481964], [2.319467542676832, 48.861895758719946], [2.3193908763836575, 48.86191778669404], [2.3194422305318625, 48.86200186668223], [2.3195106154997047, 48.86197979068825]]], ""type"": ""Polygon""}";48.8619479779224, 2.3194530756888176
EC305560;75007;2023-02-06;2023-12-22;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;38.79;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;738008;201891;"{""coordinates"": [[[2.3009097280145294, 48.85731173945571], [2.3008709627447637, 48.85728543436278], [2.3007778532107, 48.85734183843083], [2.3008186176359624, 48.85736948627973], [2.3009097280145294, 48.85731173945571]]], ""type"": ""Polygon""}";48.857327362257344, 2.300843906133343
EC308571;75015;2022-12-14;2023-12-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;15.26;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;749637;203770;"{""coordinates"": [[[2.2960951870343664, 48.84587002633474], [2.2962019778404095, 48.8458301265175], [2.2961904410043505, 48.845815942209], [2.2960954391870803, 48.84585135789368], [2.2960951870343664, 48.84587002633474]]], ""type"": ""Polygon""}";48.84584203776926, 2.2961457781677113
EC312119;75008;2023-01-16;2024-03-29;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;47.5;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;STATIONNEMENT_PAYANT;737269;201742;"{""coordinates"": [[[2.3238279939231328, 48.86814288192369], [2.3238388475626706, 48.86815751531864], [2.3241466150142527, 48.86805967996856], [2.3241350574340163, 48.86804360996966], [2.3238279939231328, 48.86814288192369]]], ""type"": ""Polygon""}";48.86810019998702, 2.323989375524017
EC312884;75008;2022-09-30;2024-03-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;79.74;Construction ou réhabilitation d'immeuble;EMPRISE_CHAUSSEE;AUTRE;739789;202300;"{""coordinates"": [[[2.298283011133788, 48.87379949654562], [2.2982990630737152, 48.873789117800825], [2.2978555024801297, 48.87350965598948], [2.297836705562493, 48.87352138557652], [2.298283011133788, 48.87379949654562]]], ""type"": ""Polygon""}";48.873651667699136, 2.2980633875833254
EC315486;75007;2022-12-26;2023-12-31;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;109.11;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;DEUX_ROUES;783916;208366;"{""coordinates"": [[[2.3166241062412967, 48.85172946776377], [2.3166256805615704, 48.85176727229678], [2.316977737033357, 48.85175653232648], [2.3169734075788497, 48.851718256995994], [2.3166241062412967, 48.85172946776377]]], ""type"": ""Polygon""}";48.85174289350083, 2.316800661641121
EC320154;75008;2023-07-17;2023-12-22;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;56.43;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;;808023;211253;"{""coordinates"": [[[2.3135441601763502, 48.87605978680809], [2.313599798932047, 48.876081052356305], [2.313715113935301, 48.8760266146029], [2.313730294302031, 48.875974790878395], [2.3135441601763502, 48.87605978680809]]], ""type"": ""Polygon""}";48.87603442814708, 2.313645958921834
EC320599;75015;2023-01-09;2023-12-01;Opérateurs de réseau (gaz-électricité-RATP-etc);CPCU;39.02;Travaux sur réseau de chauffage urbain;EMPRISE_CHAUSSEE;;809510;211534;"{""coordinates"": [[[2.3141284892587084, 48.84315782115521], [2.314152537798802, 48.84316535901143], [2.3142547689712933, 48.842998594691004], [2.314230721855762, 48.842991056862004], [2.3141284892587084, 48.84315782115521]]], ""type"": ""Polygon""}";48.843078208627226, 2.3141916290386275
EC320623;75007;2023-03-13;2023-12-15;Tiers (travaux sur bâtiment);Propriétés - Co-propriétés publiques et privées;3.54;Construction ou réhabilitation d'immeuble;EMPRISE_TROTTOIR;;800521;210319;"{""coordinates"": [[[2.317088780832924, 48.84770618299802], [2.3171211125666553, 48.84771365327395], [2.3171281665471546, 48.84770185433851], [2.3170958361942438, 48.847694383172865], [2.317088780832924, 48.84770618299802]]], ""type"": ""Polygon""}";48.84770401841247, 2.3171084737791747
