Identifiant;Identifiant CTV;Code postal de l'arrondissement;Numéro de STV;Typologie;Maitre d'ouvrage;Objet;Description;Voie(s);Précisions de localisation;Date de début;Date de fin;Impact sur la circulation;Détail de l'impact sur la circulation;Niveau de perturbation;Statut;URL LettreInfoChantier;geo_shape;geo_point_2d
CP002429;662837;75015;13;3;SCCV Porte de Brancion;CONSTRUCTION_IMMEUBLE;Construction neuve, résidence sociale et commerces;Avenue de la Porte de Brancion;Carrefour au-dessus du périphérique;2022-11-14;2024-03-15;RESTREINTE;restriction à é files de circulation, maintien de la piste vélos et cheminement piétons.;2;2;;"{""coordinates"": [[[2.299950868215911, 48.82590374090184], [2.30015215168723, 48.82580973482902], [2.3001655346281953, 48.82561825396621], [2.3000555103777676, 48.82562593831276], [2.299795085098483, 48.825695802137254], [2.299950868215911, 48.82590374090184]]], ""type"": ""Polygon""}";48.82574599992239, 2.300005595088703
CP002471;814301;75008;9;1;STV;REFECTION_CHAUSSEE;Reprise de pavage;Place du CANADA;Coté Albert er / Pont des Invalides;2023-04-06;2023-05-05;RESTREINTE;Maintien de 3,00m et Fermeture du contre sens Bus vers le 7ème;1;2;;"{""coordinates"": [[[2.3099176449909593, 48.86456021030826], [2.309815254848495, 48.86455724020254], [2.3098362437801216, 48.864606379347556], [2.3104224612182853, 48.86462355986165], [2.310389770445115, 48.86453199766828], [2.3099176449909593, 48.86456021030826]]], ""type"": ""Polygon""}";48.864581191009634, 2.310150819791415
CP002407;564719;75007;12;1;SAGP;REAMENAGEMENT_VOIRIE;Piétonnisation du pont;Pont IENA;Sur chaussée;2022-11-14;2022-12-30;RESTREINTE;Reste 1 file circulée de 3.50ml dans chaque sens (Bus + vélos) - Piétons maintenus sur trottoirs;1;2;;"{""coordinates"": [[[2.2911723743026124, 48.86025188171515], [2.291378000032758, 48.86038730561306], [2.293060421566911, 48.859315552367235], [2.29333378742358, 48.859255431661076], [2.292963030602004, 48.85899824938073], [2.292830282357081, 48.85918803829557], [2.2911723743026124, 48.86025188171515]]], ""type"": ""Polygon""}";48.85969600584461, 2.2922503588788903
CP002529;832223;75015;13;1;DVD-SD;REAMENAGEMENT_VOIRIE;Mise en conformité PMR Bus;rue des Morillons;du 69 au 75;2023-07-31;2023-08-25;SENS_UNIQUE;depuis rue Brancion vers rue de Cronstadt;2;2;;"{""coordinates"": [[[2.3028789743392855, 48.83219421253148], [2.302858458320566, 48.83216506200275], [2.3024497010134004, 48.8322740439256], [2.302468774279863, 48.832303186108504], [2.3028782410145237, 48.8321951597966], [2.3028789743392855, 48.83219421253148]]], ""type"": ""Polygon""}";48.83223399541862, 2.3026652117918185
CP001837;;75008;9;3;DIOR;REHABILITATION_IMMEUBLE;Curage du 11/02/21 au 30/06/21;Rue Galilée;Entre Champs Elysées et Vernet;2021-02-11;2023-03-31;RESTREINTE;Maintien d'une file de circulation.;2;2;;"{""coordinates"": [[[2.299263019651192, 48.87208338769547], [2.2990878503181698, 48.871965765767534], [2.299089685895717, 48.871963396852166], [2.2988432760843054, 48.871778731266176], [2.2987634127542957, 48.871816335353], [2.299186731257099, 48.872123393546424], [2.299263019651192, 48.87208338769547]]], ""type"": ""Polygon""}";48.87195027006955, 2.299011283877479
CP002365;640331;75008;9;2;CPCU;RACCORDEMENT_RESEAU;Raccordement réseau au Grand Palais;Place François 1er;Du 5 au 9 & 8-10 place François 1er + du 1 au 11 &  au 2 au 14 rue Jean Goujon + du 3 au 21 avenue François Roosevelt;2022-07-26;2023-03-31;RESTREINTE;Voies restreintes mais circulées;2;2;;"{""coordinates"": [[[2.307273629523612, 48.86601530651125], [2.3072717787067982, 48.86601886531051], [2.307271794527812, 48.86601767556485], [2.3072588876539992, 48.86603901613086], [2.3084971537277923, 48.86636027495284], [2.3085172578543354, 48.86634016478189], [2.3081668084195015, 48.866248907171915], [2.308141797576535, 48.86609528352092], [2.308040150837061, 48.866009033014286], [2.3078892476784802, 48.86596532902388], [2.3077720049943244, 48.86596702974826], [2.307510866510522, 48.866076167654846], [2.307273629523612, 48.86601530651125]]], ""type"": ""Polygon""}";48.866113277522594, 2.307888221989011
CP002378;577778;75015;13;2;CPCU;ENTRETIEN_RESEAU;Travaux d'inspection et de remplacement;rue Jean Rey;du 2 au 28;2022-09-26;2023-09-30;RESTREINTE;;2;2;;"{""coordinates"": [[[2.289873564529613, 48.85529773169754], [2.2921086689549686, 48.85545055030019], [2.292181551817004, 48.85547513910185], [2.292359637326779, 48.85554061160918], [2.292737591745067, 48.85586494303431], [2.292839420904078, 48.85585480833411], [2.292425444205605, 48.855487318088684], [2.29226791322715, 48.85540586244569], [2.2898620936398406, 48.855243980921685], [2.289873564529613, 48.85529773169754]]], ""type"": ""Polygon""}";48.855436511193275, 2.291511915226603
CP002420;738312;75008;9;1;DVD - SAGP -ACO;REAMENAGEMENT_VOIRIE;Aménagement de refuges piétons;Avenue des Champs Elysées;De la place de l'étoile à la place Clémenceau (Ph1) puis à la place de la Concorde (Ph2);2022-11-03;2023-04-14;RESTREINTE;Suppression d'une file de circulation de chaque côté à chaque phase;2;2;;"{""coordinates"": [[[2.3200538727455706, 48.865874721048435], [2.3200020390980693, 48.865793902649216], [2.3091056744565157, 48.86925572789205], [2.3091534995198972, 48.86933115860774], [2.3200538727455706, 48.865874721048435]]], ""type"": ""Polygon""}";48.867543441256416, 2.314643159291045
CP000972;;75008;9;2;SNCF EOLE;TRAVAUX_OUVRAGE;Création d'un puits de service.;avenue de Friedland;entre la rue Berryer et la rue Beaujon;2019-01-08;2022-12-30;RESTREINTE;Maintien d'une file de circulation  en direction de la place de l'Etoile , la circulation générale est déviée dans la contre-allée à partir de la rue Lamennais;1;2;;"{""coordinates"": [[[2.304422803720147, 48.87491931126261], [2.304459185606732, 48.87489620365206], [2.3044738232266613, 48.874880584410775], [2.3044727940243783, 48.87474161495838], [2.303399433909941, 48.87461925331769], [2.3032784080788256, 48.874605699179945], [2.303255264600917, 48.87460984803744], [2.3032341651065726, 48.87462304986576], [2.3032224069263725, 48.874639162372354], [2.303222184112559, 48.87465581777475], [2.303278015299301, 48.874688979490756], [2.303324449258401, 48.87472351554153], [2.303335161626826, 48.874731667460274], [2.3034293639700065, 48.874808835933436], [2.304422803720147, 48.87491931126261]]], ""type"": ""Polygon""}";48.8747634951109, 2.3038824253010715
CP001764;;75008;9;3;AVRIL;REHABILITATION_IMMEUBLE;Rénovation complète et extension;11/13 rue de Monceau;;2020-11-30;2023-01-31;RESTREINTE;"Maintien de 4m de circulation
Maintien du contre sens cyclable";2;2;;"{""coordinates"": [[[2.306993062665562, 48.87579099688083], [2.3070331160845607, 48.875763150457324], [2.306790957047798, 48.8755809054974], [2.3067487210266386, 48.875610167356626], [2.306993062665562, 48.87579099688083]]], ""type"": ""Polygon""}";48.87568552856546, 2.3068904218853814
