sasdate,date_key,word_date,date,year,quarter,month,yearmonth,day_of_month,week,day_of_week,weekday,month_and_year,holiday,timezone_id,timezone,timezone_offset
22646,010122,2022-01-01,2022-01-01,2022,1,1,2022-01,1,0,Sat,7,1960-01,NEWYEAR,ETC/GMT+7,GMT-07:00,-25200
22647,010222,2022-01-02,2022-01-02,2022,1,1,2022-01,2,1,Sun,1,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22648,010322,2022-01-03,2022-01-03,2022,1,1,2022-01,3,1,Mon,2,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22649,010422,2022-01-04,2022-01-04,2022,1,1,2022-01,4,1,Tue,3,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22650,010522,2022-01-05,2022-01-05,2022,1,1,2022-01,5,1,Wed,4,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22651,010622,2022-01-06,2022-01-06,2022,1,1,2022-01,6,1,Thu,5,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22652,010722,2022-01-07,2022-01-07,2022,1,1,2022-01,7,1,Fri,6,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22653,010822,2022-01-08,2022-01-08,2022,1,1,2022-01,8,1,Sat,7,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22654,010922,2022-01-09,2022-01-09,2022,1,1,2022-01,9,2,Sun,1,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22655,011022,2022-01-10,2022-01-10,2022,1,1,2022-01,10,2,Mon,2,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22656,011122,2022-01-11,2022-01-11,2022,1,1,2022-01,11,2,Tue,3,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22657,011222,2022-01-12,2022-01-12,2022,1,1,2022-01,12,2,Wed,4,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22658,011322,2022-01-13,2022-01-13,2022,1,1,2022-01,13,2,Thu,5,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22659,011422,2022-01-14,2022-01-14,2022,1,1,2022-01,14,2,Fri,6,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22660,011522,2022-01-15,2022-01-15,2022,1,1,2022-01,15,2,Sat,7,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22661,011622,2022-01-16,2022-01-16,2022,1,1,2022-01,16,3,Sun,1,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22662,011722,2022-01-17,2022-01-17,2022,1,1,2022-01,17,3,Mon,2,1960-01,MLK,ETC/GMT+7,GMT-07:00,-25200
22663,011822,2022-01-18,2022-01-18,2022,1,1,2022-01,18,3,Tue,3,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22664,011922,2022-01-19,2022-01-19,2022,1,1,2022-01,19,3,Wed,4,1960-01,,ETC/GMT+7,GMT-07:00,-25200
22665,012022,2022-01-20,2022-01-20,2022,1,1,2022-01,20,3,Thu,5,1960-01,,ETC/GMT+7,GMT-07:00,-25200
