name,datetime,temp,feelslike,dew,humidity,precip,precipprob,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,conditions,icon,stations
Paris,2023-12-08T00:00:00,5.3,2.8,5,97.78,1.9,100,rain,0,0,24.8,11.1,177,1005,96.1,6,0,0,0,10,"Rain, Overcast",rain,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T01:00:00,6,3.8,5.3,95.62,1,100,rain,0,0,15.8,10,194,1005,100,7,0,0,0,10,"Rain, Overcast",rain,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T02:00:00,6,4.4,6,100,0,0,,0,0,16.9,7.4,204,1005.6,100,6.9,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T03:00:00,6.6,4.7,6,95.64,0.1,100,rain,0,0,15.8,9.4,224,1006,100,8.2,0,0,0,10,"Rain, Overcast",rain,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T04:00:00,6.9,5,6.6,97.81,0,0,,0,0,15.1,10,250,1006,96.1,8.6,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T05:00:00,6.9,4.8,6.9,100,0,0,,0,0,13.7,11.3,231,1006.3,96.1,7.6,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T06:00:00,7.3,5.4,6.9,97.82,0,0,,0,0,14.4,9.9,224,1007,96.1,5.5,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T07:00:00,7.6,5.8,7.3,97.81,0,0,,0,0,14,10,231,1007.6,96.1,4.2,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T08:00:00,7.6,5.2,6.9,95.67,0,0,,0,0,13.3,13.5,240,1008.3,96.1,4.9,0,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T09:00:00,7.3,5.1,7.3,100,0,0,,0,0,13.7,11.7,243,1009,96.1,2.9,2,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T10:00:00,7.3,5.4,7.3,100,0,0,,0,0,13.3,9.9,240,1009.6,96.1,3.3,11,0,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T11:00:00,8.3,6.7,7.6,95.69,0,0,,0,0,17.3,9.4,217,1010,96.1,7,24,0.1,0,10,Overcast,cloudy,"LFPV,C1292,LFPO,LFPB"
Paris,2023-12-08T12:00:00,9.3,7.4,6.8,84.37,0,0,,0,0,27.4,12.2,253.1,1011,90.4,24.1,183,0.7,2,10,Overcast,cloudy,
Paris,2023-12-08T13:00:00,10.1,10.1,7,81.07,0,0,,0,0,27.7,10.4,251.3,1011,88.5,24.1,246,0.9,2,10,Partially cloudy,partly-cloudy-day,
Paris,2023-12-08T14:00:00,10.6,10.6,7,78.41,0,0,,0,0,25.6,11.5,243.8,1011,69.2,24.1,263,0.9,3,10,Partially cloudy,partly-cloudy-day,
Paris,2023-12-08T15:00:00,10.5,10.5,6.9,78.39,0,0,,0,0,26.3,11.2,254.4,1011,58.4,24.1,206,0.7,2,10,Partially cloudy,partly-cloudy-day,
Paris,2023-12-08T16:00:00,10,9.1,6.9,81.05,0,0,,0,0,25.2,7.2,244.7,1012,47.3,24.1,115,0.4,1,10,Partially cloudy,partly-cloudy-day,
Paris,2023-12-08T17:00:00,8.8,8.3,7.1,89.08,0,0,,0,0,15.8,5,208.2,1012,32.4,24.1,21,0.1,0,10,Partially cloudy,partly-cloudy-night,
Paris,2023-12-08T18:00:00,7.6,6.9,6.6,93.38,0,0,,0,0,13,5.4,212.9,1013,30.4,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
Paris,2023-12-08T19:00:00,6.9,5.8,6,93.99,0,0,,0,0,13.7,6.1,207.8,1013,30.1,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
Paris,2023-12-08T20:00:00,6.5,5.1,5.6,93.97,0,0,,0,0,16.2,7.2,207.9,1014,64.3,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
Paris,2023-12-08T21:00:00,6.4,4.9,5.6,94.62,0,0,,0,0,17.3,7.2,200.1,1014,74.5,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
Paris,2023-12-08T22:00:00,6.3,4.6,5.6,95.28,0,0,,0,0,17.3,7.9,200.9,1014,76.9,24.1,0,0,0,10,Partially cloudy,partly-cloudy-night,
